
           Claude Code v2.1.39
 ▐▛███▜▌   Opus 4.6 · Claude Max
▝▜█████▛▘  /data/HOROS SYSTEM DEV AREA/horostracker/e2e
  ▘▘ ▝▝    Opus 4.6 is here · $50 free extra usage · /extra-usage to enable

╭──────────────────────────────────────────────────────────────────────────────╮
│ Plan to implement                                                            │
│                                                                              │
│ Réalignement Phase 2b — Rôles, strates d'accès, clonage systématique         │
│                                                                              │
│ Contexte                                                                     │
│                                                                              │
│ La Phase 2 a implémenté trois composants qui divergent structurellement de   │
│ la spécification : un modèle de rôles orienté modération                     │
│ (user/moderator/admin), des strates de visibilité fondées sur la dégradation │
│  automatique par score de sécurité, et un clonage conditionnel dans des      │
│ sandboxes à cycle de vie. L'analyse comparative montre que la version de la  │
│ spécification — rôles orientés écosystème                                    │
│ (anon/user/researcher/provider/operator), strates d'accès par rôle, et       │
│ clonage systématique — maximise l'adoption par les ingénieurs de providers   │
│ LLM. Le Circuit 1 (scoring synchrone + async) reste entièrement intact.      │
│                                                                              │
│ ---                                                                          │
│ Chantier 1 — Modèle de rôles                                                 │
│                                                                              │
│ 1.1 Schema internal/db/schema.go (ligne 54)                                  │
│                                                                              │
│ Remplacer le CHECK constraint sur users.role :                               │
│ - Ancien : CHECK(role IN ('user','moderator','admin'))                       │
│ - Nouveau : CHECK(role IN                                                    │
│ ('anon','user','researcher','provider','operator'))                          │
│                                                                              │
│ La valeur par défaut reste 'user'.                                           │
│                                                                              │
│ 1.2 Auth internal/auth/auth.go                                               │
│                                                                              │
│ Aucune modification structurelle. La struct Claims et GenerateToken restent  │
│ identiques. Le rôle est une valeur string libre — le changement de           │
│ vocabulaire est transparent pour le module auth.                             │
│                                                                              │
│ 1.3 Users internal/db/users.go                                               │
│                                                                              │
│ Ajouter une méthode SetUserRole(userID, role string) error pour permettre à  │
│ un opérateur de promouvoir un utilisateur (researcher, provider, operator).  │
│ Valider en Go que le rôle fait partie de l'ensemble autorisé avant l'UPDATE. │
│                                                                              │
│ 1.4 API internal/api/api.go — userRole (ligne 64)                            │
│                                                                              │
│ Modifier le fallback : quand claims == nil, retourner "anon" au lieu de      │
│ "user". Ce changement garantit que les visiteurs non authentifiés ne voient  │
│ que les strates accessibles aux anonymes (c'est-à-dire uniquement "public"). │
│                                                                              │
│ ---                                                                          │
│ Chantier 2 — Strates de visibilité (accès par rôle)                          │
│                                                                              │
│ 2.1 Schema internal/db/schema.go (lignes 350-363)                            │
│                                                                              │
